ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Total_Children,Age,Total_Spending,Total_Purchases,Education_enc,Marital_Status_enc,Country_enc,Age_Group,Has_Children,Online_Purchases,Store_Purchases
1826,1970,Graduation,Divorced,84835.0,0,0,2014-06-16,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,SP,0,55,1190.0,14,0.0,0.0,0.0,Younger,0,8,6
1,1961,Graduation,Single,57091.0,0,0,2014-06-15,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,CA,0,64,577.0,17,0.0,1.0,1.0,Older,0,10,7
10476,1958,Graduation,Married,67267.0,0,1,2014-05-13,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,US,1,67,251.0,10,0.0,2.0,2.0,Older,1,5,5
1386,1967,Graduation,Together,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,AUS,2,58,11.0,3,0.0,3.0,3.0,Younger,1,1,2
5371,1989,Graduation,Single,21474.0,1,0,2014-04-08,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,SP,1,36,91.0,6,0.0,1.0,0.0,Younger,1,4,2
7348,1958,Phd,Single,71691.0,0,0,2014-03-17,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,SP,0,67,1192.0,16,1.0,1.0,0.0,Older,0,11,5
4073,1954,2N Cycle,Married,63564.0,0,0,2014-01-29,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,0,GER,0,71,1215.0,27,2.0,2.0,4.0,Older,0,20,7
1991,1967,Graduation,Together,44931.0,0,1,2014-01-18,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,SP,1,58,96.0,6,0.0,3.0,0.0,Younger,1,3,3
4047,1954,Phd,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,US,1,71,544.0,17,1.0,2.0,2.0,Older,1,8,9
9477,1954,Phd,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,IND,1,71,544.0,17,1.0,2.0,5.0,Older,1,8,9
2079,1947,2N Cycle,Married,81044.0,0,0,2013-12-27,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,US,0,78,1208.0,21,2.0,2.0,2.0,Older,0,11,10
5642,1979,Master,Together,62499.0,1,0,2013-12-09,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,SP,1,46,222.0,10,3.0,3.0,0.0,Younger,1,4,6
10530,1959,Phd,Widow,67786.0,0,0,2013-12-07,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,IND,0,66,1156.0,15,1.0,4.0,5.0,Older,0,9,6
2964,1981,Graduation,Married,26872.0,0,0,2013-10-16,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,CA,0,44,72.0,4,0.0,2.0,1.0,Younger,0,2,2
10311,1969,Graduation,Married,4428.0,0,1,2013-10-05,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,SP,1,56,359.0,25,0.0,2.0,0.0,Younger,1,25,0
837,1977,Graduation,Married,54809.0,1,1,2013-09-11,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,SP,2,48,174.0,8,0.0,2.0,0.0,Younger,1,3,5
10521,1977,Graduation,Married,54809.0,1,1,2013-09-11,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,SP,2,48,174.0,8,0.0,2.0,0.0,Younger,1,3,5
10175,1958,Phd,Divorced,32173.0,0,1,2013-08-01,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,SP,1,67,22.0,4,1.0,0.0,0.0,Older,1,1,3
1473,1960,2N Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,CA,1,65,72.0,5,2.0,1.0,1.0,Older,1,2,3
2795,1958,Master,Single,30523.0,2,1,2013-07-01,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,CA,3,67,13.0,3,3.0,1.0,1.0,Older,1,1,2
2285,1954,Master,Together,36634.0,0,1,2013-05-28,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,SA,1,71,335.0,12,3.0,3.0,6.0,Older,1,7,5
115,1966,Master,Single,43456.0,0,1,2013-03-26,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,IND,1,59,393.0,14,3.0,1.0,5.0,Younger,1,6,8
10470,1979,Master,Married,40662.0,1,0,2013-03-15,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,GER,1,46,92.0,6,3.0,2.0,4.0,Younger,1,3,3
4065,1976,Phd,Married,49544.0,1,0,2013-02-12,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,SP,1,49,404.0,14,1.0,2.0,0.0,Younger,1,6,8
10968,1969,Graduation,Single,57731.0,0,1,2012-11-23,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0,IND,1,56,704.0,22,0.0,1.0,5.0,Younger,1,16,6
5985,1965,Master,Single,33168.0,0,1,2012-10-13,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,SP,1,60,122.0,7,3.0,1.0,0.0,Older,1,3,4
5430,1956,Graduation,Together,54450.0,1,1,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP,2,69,684.0,19,0.0,3.0,0.0,Older,1,11,8
8432,1956,Graduation,Together,54450.0,1,1,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP,2,69,684.0,19,0.0,3.0,0.0,Older,1,11,8
453,1956,Phd,Widow,35340.0,1,1,2014-06-29,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,SP,2,69,45.0,5,1.0,4.0,0.0,Older,1,2,3
9687,1975,Graduation,Single,73170.0,0,0,2014-05-31,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,CA,0,50,726.0,15,0.0,1.0,1.0,Younger,0,9,6
8890,1971,Phd,Divorced,65808.0,1,1,2014-05-30,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,SP,2,54,272.0,11,1.0,0.0,0.0,Younger,1,6,5
9264,1986,Graduation,Married,79529.0,0,0,2014-04-27,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,CA,0,39,1638.0,21,0.0,2.0,1.0,Younger,0,12,9
5824,1972,Phd,Together,34578.0,2,1,2014-04-11,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,AUS,3,53,8.0,3,1.0,3.0,3.0,Younger,1,1,2
5794,1974,Phd,Married,46374.0,0,1,2014-03-17,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,1,0,IND,1,51,446.0,15,1.0,2.0,5.0,Younger,1,8,7
3068,1990,Graduation,Married,18351.0,0,0,2013-10-29,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,SP,0,35,43.0,5,0.0,2.0,0.0,Younger,0,2,3
7962,1987,Phd,Single,95169.0,0,0,2013-10-09,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,SP,0,38,1901.0,11,1.0,1.0,0.0,Younger,0,7,4
2681,1984,2N Cycle,Married,65370.0,0,0,2013-08-01,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,SP,0,41,461.0,18,2.0,2.0,0.0,Younger,0,5,13
10141,1960,Master,Divorced,39228.0,0,0,2013-05-10,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,SA,0,65,20.0,3,3.0,0.0,6.0,Older,0,0,3
3725,1961,Phd,Single,84865.0,0,0,2013-05-09,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,SP,0,64,1688.0,15,1.0,1.0,0.0,Older,0,6,9
3767,1968,Graduation,Married,61314.0,0,1,2013-04-25,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,SP,1,57,1008.0,22,0.0,2.0,0.0,Younger,1,10,12
5585,1972,Graduation,Single,21359.0,1,0,2013-04-20,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0,CA,1,53,48.0,5,0.0,1.0,1.0,Younger,1,2,3
7030,1955,Phd,Married,66465.0,0,1,2013-03-30,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,SP,1,70,1485.0,32,1.0,2.0,0.0,Older,1,20,12
1524,1983,2N Cycle,Single,81698.0,0,0,2013-03-01,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,0,SP,0,42,1104.0,15,2.0,1.0,0.0,Younger,0,10,5
